key,translation
analyze.help.fileUpload.excelFile,Excel spreadsheet
analyze.help.fileUpload.jsonFile,JSON array format
analyze.help.fileUpload.textFile,Plain text format
analyze.help.fileUpload.clickToDownload,Click on any file type to download its template
analyze.help.fileUpload.downloadTemplate,Download {fileType} template
analyze.help.fileUpload.excelHint,Best support for Excel on Windows
analyze.help.fileUpload.csvWarning,May not display Arabic correctly on Excel
analyze.results.title,Analysis Results
analyze.results.subtitle,Here are the results of your comment analysis.
analyze.results.overview,Overview
analyze.results.actions.download,Download Results
analyze.results.actions.print,Print
analyze.results.actions.jumpToResults,Jump to results
analyze.results.customizeCharts,Customize Charts
analyze.results.noChartSelected,No chart selected
analyze.results.charts.distribution,Distribution (Doughnut)
analyze.results.charts.totals,Total by Classification
analyze.results.charts.platformStacked,By Platform (Stacked)
analyze.results.charts.histogram,Confidence Score Distribution
analyze.results.charts.titles.distribution,Distribution of Comments by Classification (%)
analyze.results.charts.titles.totals,Total Comments by Classification (Count)
analyze.results.charts.titles.platformStacked,"Comments by Platform and Classification (Stacked)"
analyze.results.charts.titles.histogram,Confidence Score Distribution by Classification (0-100%)
analyze.results.charts.commentsCountLabel,# of comments
analyze.results.charts.commentsAxis,Comments
analyze.results.summary.title,Analysis Summary
analyze.results.summary.hate,Hate Speech
analyze.results.summary.nonhate,Not-Hate Speech
analyze.results.summary.neutral,Neutral Comments
analyze.results.summary.confidence,Confidence Score:
analyze.results.summary.commentsLabel,comments
analyze.results.summary.totalLabel,Total:
analyze.results.summary.dialect,Dialect:
analyze.results.summary.modelVersion,Model Version:
analyze.results.summary.commentsWord,Comments
analyze.results.singleResult.title,Analysis Result
analyze.results.singleResult.comment,Comment
analyze.results.singleResult.classification,Classification
analyze.results.singleResult.confidence,Confidence
analyze.results.singleResult.metadata,Additional Information
analyze.results.singleResult.platform,Platform
analyze.results.singleResult.date,Date
analyze.results.singleResult.notAvailable,Not Available
analyze.results.details.title,Comments Analysis Details
analyze.results.details.headers.comment,Comment
analyze.results.details.headers.platform,Platform
analyze.results.details.headers.date,Date
analyze.results.details.headers.classification,Classification
analyze.results.details.headers.score,Score
analyze.results.details.na,N/A
analyze.results.details.pagination.showing,Showing {first} to {last} of {total} entries
analyze.results.details.pagination.rowsPerPage,Rows per page:
analyze.results.details.pagination.noData,No data found
analyze.results.details.filters.global,Search all columns...
analyze.results.details.filters.platform,Filter by platform
analyze.results.details.filters.classification,Filter by classification
analyze.results.details.actions.showAllColumns,Show all columns
analyze.results.details.actions.hideColumn,Hide column
analyze.results.details.actions.expandComment,Expand comment
analyze.results.details.actions.collapseComment,Collapse comment
analyze.results.details.validity.valid,Valid
analyze.results.details.validity.invalid,Invalid
analyze.results.backToAnalyze,Back to Analyze
analyze.results.noDataAvailable,No analysis data available. Please run an analysis first.
analyze.results.noValidComments,There are no valid comments provided. Make sure that the comments are in a valid {dialect} text.
analyze.results.download.title,Download Results
analyze.results.download.subtitle,Choose a format to download your analysis results
analyze.results.download.xlsx,Excel File
analyze.results.download.pdf,PDF Report
analyze.results.download.csv,CSV File
analyze.results.download.json,JSON Data
analyze.results.download.xlsxDescription,Excel spreadsheet format (.xlsx)
analyze.results.download.pdfDescription,Formatted report with charts and summary
analyze.results.download.csvDescription,Spreadsheet format for advanced analysis
analyze.results.download.jsonDescription,Raw data in JSON format
analyze.results.download.downloading,Downloading...
analyze.results.download.downloadError,Failed to download file. Please try again.
analyze.results.download.downloadSuccess,File downloaded successfully!
analyze.validation.textRequired,Text input is required
analyze.validation.textEmpty,Text input cannot be empty
analyze.validation.oneCommentRequired,Please enter at least one comment
analyze.validation.fileRequired,Please select a file to upload
analyze.validation.fileSizeLimit,File size exceeds 10MB limit
analyze.validation.invalidFileType,"Invalid file type. Accepted types: {types}"
analyze.validation.processingError,An error occurred while processing your request
analyze.validation.dialectRequired,You should select a dialect for the AI model to analyze
analyze.errors.fileSizeExceeded,File size exceeds maximum limit of {size}MB
analyze.errors.invalidFileType,"Invalid file type. Please upload a text, CSV, JSON, or Excel file"
analyze.errors.textInputEmpty,Text input is empty
analyze.errors.csvFileEmpty,CSV file is empty
analyze.errors.csvNoData,CSV file contains no data
analyze.errors.csvRowError,Row {row}: Comment is required
analyze.errors.jsonArrayRequired,JSON file must contain an array of objects
analyze.errors.jsonItemError,Item {item}: Comment is required
analyze.errors.jsonInvalidFormat,Invalid JSON format
analyze.errors.excelNoSheets,Excel file contains no sheets
analyze.errors.excelEmpty,Excel file is empty
analyze.errors.excelNoData,Excel file contains no data
analyze.errors.excelRowError,Row {row}: Comment is required
analyze.errors.excelParseError,Failed to parse Excel file
analyze.errors.missingCommentHeader,Missing required 'comment' column header
analyze.errors.unsupportedFileType,Unsupported file type
analyze.errors.noFileUploaded,No file uploaded
analyze.errors.fileIsRequired,File is required
analyze.errors.parseFileError,Failed to parse file
analyze.errors.noValidComments,No valid comments found in file
analyze.errors.parseTextError,Failed to parse text input
analyze.errors.internalServerError,Internal server error
login.title,Login to Nuha
login.emailLabel,Email Address
login.emailPlaceholder,Enter your email address
login.emailButton,Continue with Email
login.sending,Sending...
login.emailDescription,We'll email you a magic login link. No password needed.
login.githubButton,Continue with GitHub
login.googleButton,Continue with Google
login.termsText,By logging in you agree to our {termsLink} and {privacyLink}
login.termsLink,Terms of Service
login.privacyLink,Privacy Policy
login.provider.email,Email
login.provider.github,GitHub
login.provider.google,Google
login.messages.emailSent,Magic link sent to {email}! Please check your email to complete the login.
login.messages.githubSuccess,GitHub login successful! Redirecting...
login.messages.googleSuccess,Google login successful! Redirecting...
login.messages.invalidEmail,Please enter a valid email address.
login.messages.emailError,Failed to send magic link. Please try again.
login.messages.githubError,Failed to login with GitHub. Please try again.
login.messages.googleError,Failed to login with Google. Please try again.
login.messages.authError,Authentication failed. Please try again.
login.messages.expiredMagicLink,This magic link has expired or is invalid. Please request a new one.
login.messages.genericError,An error occurred. Please try again.
publications.page.title,Publications
publications.page.subtitle,Check out latest research and publications on Online Gender-Based Hate Speech and Technology-Facilitated Gender Based Violence in the region.
publications.sections.featured,Featured
publications.sections.allPublications,All Publications
publications.categories.filter,Filter by Category
publications.categories.all,All Categories
publications.categories.fetchError,Failed to fetch categories.
publications.noPublications,No publications available at the moment.
publications.backToFirstPage,Back to First Page
publications.fetchError,Failed to fetch publications.
publications.single.authors,Authors:
publications.single.tableOfContent,Table of Content
publications.single.lastUpdated,Last Updated
publications.single.share.copyUrl,Copy Link
publications.single.share.whatsapp,Share on WhatsApp
publications.single.share.twitter,Share on Twitter
publications.single.share.urlCopied,Link copied to clipboard!
publications.single.notFound,Publication not found.
publications.single.backToPublications,Back to Publications
about.page.title,About Us
about.page.error,Failed to load about page content.
terms.page.title,Terms of Service
terms.page.error,Failed to load terms of service content.
privacy.page.title,Privacy Policy
privacy.page.error,Failed to load privacy policy content.
error.404.title,Page Not Found
error.404.heading,Oops! Page not found
error.404.description,"The page you're looking for doesn't exist. It might have been moved, deleted, or you entered the wrong URL."
error.404.backHome,Back to Home
error.404.backPrevious,Go Back
error.404.exploreNuha,Explore Nuha
error.404.exploreNuhaText,Discover our tools and resources for Arabic language analysis.
error.general.title,Something went wrong
error.general.heading,An error occurred
error.general.description,"We're sorry, but something went wrong. Please try again later."
error.general.tryAgain,Try Again
error.general.backHome,Back to Home
