key,translation,Kurdish Translation,Translated By:,ملاحظة 
analyze.help.textInput.title,Text Input Format,شێوازی تێکردنی دەق,,
analyze.help.textInput.structure,Text Structure:,پێکهاتەی دەق:,,
analyze.help.textInput.structure-subtitle,Fields marked with * are mandatory.,ئەو خانانەی کە هێمای * لەسەرە دەبێت پڕبکرێنەوە,,
analyze.help.textInput.sampleText,Write a comment in {dialect}..,کۆمێنتێک بە {زاراوەی ناوچەیی} بنووسە..,,
analyze.help.textInput.tips,Notes:,تێبینی:,,
analyze.help.textInput.tip1,Only write text in the specified dialects,تەنها بە شێوەزارە دیاریکراوەکان دەق بنووسە,,
analyze.help.textInput.tip2,Mixed dialects in the same text may affect accuracy,تێکەڵکردنی زارەکان لەهەمان دەقدا، کاریگەری لەسەر وردی هەیە ,,
analyze.help.textInput.tip3,Use 'File Upload' if you want to analyze multiple texts,ئەگەر دەتەوێت چەندین دەق شی بکەیتەوە 'بارکردنی فایل' بەکاربهێنە,,
analyze.help.fileUpload.title,File Upload Requirements,پێداویستییەکانی بارکردنی فایل,,
analyze.help.fileUpload.supportedTypes,Supported File Types,جۆرەکانی فایلی پشتگیریکراو,,
analyze.help.fileUpload.requirements,Requirements,پێداویستییەکان,,
analyze.help.fileUpload.maxSize,Maximum file size: 10MB,زۆرترین قەبارەی فایل: 10 مێگابایت,,
analyze.help.fileUpload.encoding,Text encoding: UTF-8,کۆدکردنی دەق: UTF-8,,
analyze.help.fileUpload.content,Only 'Comment' column/property is required - all others are optional,تەنها ستوونی/تایبەتمەندی 'کۆمێنت' پێویستە - هەموو ئەوانی تر ئارەزوومەندانەیە,,
analyze.help.fileUpload.csvFile,Comma-separated values,بەها جیاکراوەکانی بەکۆما,,
analyze.help.fileUpload.excelFile,Excel spreadsheet,خشتەی زانیارییەکان ئێکسڵ,,
analyze.help.fileUpload.jsonFile,JSON array format,فۆرماتی ڕیزبەندی JSON,,
analyze.help.fileUpload.textFile,Plain text format,فۆرماتی دەقی سادە,,
analyze.help.fileUpload.clickToDownload,Click on any file type to download its template,کلیک لەسەر جۆری فایلەکە بکە تا قاڵبەکەی دابگریت,,
analyze.help.fileUpload.downloadTemplate,Download {fileType} template,داگرتنی قاڵبی {جۆری فایل},,
analyze.help.fileUpload.excelHint,Best support for Excel on Windows,باشترین پشتگیری بۆ ئێکسڵ لەسەر ویندۆز,,
analyze.help.fileUpload.csvWarning,May not display Arabic correctly on Excel,لەوانەیە زمانی عەرەبی بە دروستی لە ئێکسڵدا پیشان نەدرێت,,
analyze.results.title,Analysis Results,ئەنجامی شیکارییەکان,,
analyze.results.subtitle,Here are the results of your comment analysis.,لێرەدا ئەنجامی شیکاری کۆمێنتەکانتان دەخەینە ڕوو.,,
analyze.results.overview,Overview,تێڕوانینی گشتیی,,
analyze.results.actions.download,Download Results,داگرتنی ئەنجامەکان,,
analyze.results.actions.print,Print,چاپ بکە,,
analyze.results.actions.jumpToResults,Jump to results,بڕۆ بۆ ئەنجامەکان,,
analyze.results.customizeCharts,Customize Charts,هێڵکارییەکان بە خواستی خۆت دابنێ,,
analyze.results.noChartSelected,No chart selected,هیچ هێڵکارییەک هەڵنەبژێردراوە,,
analyze.results.charts.distribution,Distribution (Doughnut),دابەشکردن لەسەر شێوەی (دۆنات),,
analyze.results.charts.totals,Total by Classification,کۆی گشتی بەپێی پۆلێنکردن,,
analyze.results.charts.platformStacked,By Platform (Stacked),بەپێی پلاتفۆرمەکە (کۆکراوە),,
analyze.results.charts.histogram,Confidence Score Distribution,دابەشکردنی نمرەی متمانە,,
analyze.results.charts.titles.distribution,Distribution of Comments by Classification (%),دابەشکردنی کۆمێنتەکان بەپێی پۆلێنکردن (%),,
analyze.results.charts.titles.totals,Total Comments by Classification (Count),کۆی گشتی کۆمێنتەکان بەپێی پۆلێنکردن (ژمارە),,
analyze.results.charts.titles.platformStacked,Comments by Platform and Classification (Stacked),سەرنجەکان بەپێی پلاتفۆرم و پۆلێنکردن (کۆکراوە),,
analyze.results.charts.titles.histogram,Confidence Score Distribution by Classification (0-100%),دابەشکردنی نمرەی متمانە بەپێی پۆلێنکردن (0-100%),,
analyze.results.charts.commentsCountLabel,# of comments,لە کۆمێنتەکان# ,,
analyze.results.charts.commentsAxis,Comments,کۆمێنتەکان,,
analyze.results.summary.title,Analysis Summary,پوختەی شیکاری,,
analyze.results.summary.hate,Hate Speech,گوتاری ڕقوکینەیە,,
analyze.results.summary.nonhate,Not-Hate Speech,گوتاری ڕقوکینە نییە,,
analyze.results.summary.neutral,Neutral Comments,کۆمێنتی بێلایەن,,
analyze.results.summary.confidence,Confidence Score:,نمرەی متمانە:,,
analyze.results.summary.commentsLabel,comments,کۆمێنتەکان,,
analyze.results.summary.totalLabel,Total:,کۆ:,,
analyze.results.summary.dialect,Dialect:,زاراوە:,,
analyze.results.summary.modelVersion,Model Version:,وەشانی مۆدێلەکە:,,
analyze.results.summary.commentsWord,Comments,کۆمێنتەکان,,
analyze.results.singleResult.title,Analysis Result,ئەنجامی شیکاری,,
analyze.results.singleResult.comment,Comment,کۆمێنت,,
analyze.results.singleResult.classification,Classification,پۆلێنکردن,,
analyze.results.singleResult.confidence,Confidence,متمانە,,
analyze.results.singleResult.metadata,Additional Information,زانیاری زیاتر,,
analyze.results.singleResult.platform,Platform,پلاتفۆرم,,
analyze.results.singleResult.date,Date,ڕێکەوت,,
analyze.results.singleResult.notAvailable,Not Available,بەردەست نییە,,
analyze.results.details.title,Comments Analysis Details,وردەکارییەکانی شیکاری کۆمێنتەکان,,
analyze.results.details.headers.comment,Comment,کۆمێنت,,
analyze.results.details.headers.platform,Platform,پلاتفۆرم,,
analyze.results.details.headers.date,Date,ڕێکەوت,,
analyze.results.details.headers.classification,Classification,پۆلێنکردن,,
analyze.results.details.headers.score,Score,نمرە,,
analyze.results.details.na,N/A,جێبەجێ ناکرێت,,
analyze.results.details.pagination.showing,Showing {first} to {last} of {total} entries,پیشاندانی {یەکەم} تا {کۆتایی} لە {کۆی} تۆمارکراوەکان,,
analyze.results.details.pagination.rowsPerPage,Rows per page:,ڕیزەکان بۆ هەر لاپەڕەیەک:,,
analyze.results.details.pagination.noData,No data found,هیچ زانیارییەک نەدۆزراوەتەوە,,
analyze.results.details.filters.global,Search all columns...,گەڕان لەناو هەموو ستوونەکاندا...,,
analyze.results.details.filters.platform,Filter by platform,بەپێی پلاتفۆرم فلتەر بکە,,
analyze.results.details.filters.classification,Filter by classification,بەپێی پۆلێنکردن فلتەر بکە,,
analyze.results.details.actions.showAllColumns,Show all columns,هەموو ستوونەکان پیشان بدە,,
analyze.results.details.actions.hideColumn,Hide column,ستوونی شاردنەوە,,
analyze.results.details.actions.expandComment,Expand comment,کۆمێنت فراوان بکە,,
analyze.results.details.actions.collapseComment,Collapse comment,شاردنەوەی کۆمێنت,,
analyze.results.details.validity.valid,Valid,دروستە,,
analyze.results.details.validity.invalid,Invalid,نادروستە,,
analyze.results.backToAnalyze,Back to Analyze,گەڕانەوە بۆ شیکاری,,
analyze.results.noDataAvailable,No analysis data available. Please run an analysis first.,هیچ زانیارییەکی شیکاری لەبەردەستدا نییە. تکایە سەرەتا شیکارییەک ئەنجام بدە.,,
analyze.results.noValidComments,There are no valid comments provided. Make sure that the comments are in a valid {dialect} text.,هیچ کۆمێنتێکی دروست نەخراوەتەڕوو. دڵنیابە لەوەی کە کۆمێنتەکان بە جۆری {زاراوە}ی دروست نووسراوە.,,
analyze.results.download.title,Download Results,داگرتنی ئەنجامەکان,,
analyze.results.download.subtitle,Choose a format to download your analysis results,فۆرماتێک هەڵبژێرە بۆ دابەزاندنی ئەنجامی شیکارییەکانتان,,
analyze.results.download.xlsx,Excel File,فایلی ئێکسڵ,,
analyze.results.download.pdf,PDF Report,ڕاپۆرتی PDF ,,
analyze.results.download.csv,CSV File,فایلە CSV ,,
analyze.results.download.json,JSON Data,زانیارییەکان JSON,,
analyze.results.download.xlsxDescription,Excel spreadsheet format (.xlsx),فۆرماتی خشتەی زانیارییەکان ئێکسڵ  (.xlsx),,
analyze.results.download.pdfDescription,Formatted report with charts and summary,ڕاپۆرتی ڕێکخراو لەگەڵ هێڵکاری و پوختە,,
analyze.results.download.csvDescription,Spreadsheet format for advanced analysis,ڕێکخستنی خشتەی زانیارییەکان بۆ شیکاری پێشکەوتوو,,
analyze.results.download.jsonDescription,Raw data in JSON format,زانیارییە بەراییەکان بە ڕێکخستنی JSON ,,
analyze.results.download.downloading,Downloading...,دابەزاندن...,,
analyze.results.download.downloadError,Failed to download file. Please try again.,شکستی هێنا لە دابەزاندنی فایل. تکایە دووبارە هەوڵبدەرەوە.,,
analyze.results.download.downloadSuccess,File downloaded successfully!,فایلەکە بە سەرکەوتوویی دابەزێنرا!,,
analyze.validation.textRequired,Text input is required,نووسینی دەق پێویستە,,
analyze.validation.textEmpty,Text input cannot be empty,ناتوانرێت خانەی نووسینی دەق بەتاڵ بێت,,
analyze.validation.oneCommentRequired,Please enter at least one comment,تکایە بەلایەنی کەمەوە یەک کۆمێنت بنووسە,,
analyze.validation.fileRequired,Please select a file to upload,تکایە فایلێک هەڵبژێرە بۆ بارکردن,,
analyze.validation.fileSizeLimit,File size exceeds 10MB limit,قەبارەی فایلەکە قەبارەی ڕێگەپێدراو تێدەپەڕێنێت کە ١٠ مێگابایتە,,
analyze.validation.invalidFileType,Invalid file type. Accepted types: {types},جۆری فایلێکی نادروست. جۆرە وەرگیراوەکان: {جۆرەکان},,
analyze.validation.processingError,An error occurred while processing your request,لە کاتی چارەسەرکردنی داواکارییەکەتدا هەڵەیەک ڕوویدا,,
analyze.validation.dialectRequired,You should select a dialect for the AI model to analyze,پێویستە زاراوەیەک هەڵبژێریت بۆ ئەوەی مۆدێلی ژیری دەستکردەکە شیکاری بکات,,
analyze.errors.fileSizeExceeded,File size exceeds maximum limit of {size}MB,قەبارەی فایلەکە ئەوپەڕی قەبارەی ڕێگەپێدراو تێدەپەڕێنێت کە {قەبارە} مێگابایتە,,
analyze.errors.invalidFileType,"Invalid file type. Please upload a text, CSV, JSON, or Excel file",جۆری فایلەکە دروست نییە، تێکست یان فایلی جۆری CSV یان JSON یان بە ئێکسڵ باربکە,,
analyze.errors.textInputEmpty,Text input is empty,خانەی نووسینی دەق بەتاڵە ,,
analyze.errors.csvFileEmpty,CSV file is empty,فایلە CSV بەتاڵە,,
analyze.errors.csvNoData,CSV file contains no data,فایلە CSV هیچ زانیارییەکی تێدا نییە,,
analyze.errors.csvRowError,Row {row}: Comment is required,ڕیزی {row}: پێویستە کۆمێنت بنووسرێت,,
analyze.errors.jsonArrayRequired,JSON file must contain an array of objects,دەبێت فایلی JSON  ڕیزبەندییەک لە شتەکانی تێدابێت,,
analyze.errors.jsonItemError,Item {item}: Comment is required,بابەتی {item}: کۆمێنت پێویستە,,
analyze.errors.jsonInvalidFormat,Invalid JSON format,فۆرماتی JSON نادروستە,,
analyze.errors.excelNoSheets,Excel file contains no sheets,فایلی ئێکسڵ هیچ لاپەڕەیەکی تێدا نییە,,
analyze.errors.excelEmpty,Excel file is empty,فایلی ئێکسڵ بەتاڵە,,
analyze.errors.excelNoData,Excel file contains no data,فایلی ئێکسڵ هیچ زانیارییەکی تێدا نییە,,
analyze.errors.excelRowError,Row {row}: Comment is required,ڕیزی {row}: پێویستە کۆمێنت بنووسرێت,,
analyze.errors.excelParseError,Failed to parse Excel file,شکستی هێنا لە شیکاری فایلی ئێکسڵ,,
analyze.errors.missingCommentHeader,Missing required 'comment' column header,"ناونیشانی ستونی ""کۆمێنت""ی داواکراو ونە",,
analyze.errors.unsupportedFileType,Unsupported file type,جۆری فایلەکە پشتگیری نەکراو,,
analyze.errors.noFileUploaded,No file uploaded,هیچ فایلێک بارنەکراوە,,
analyze.errors.fileIsRequired,File is required,فایلی پێویستە,,
analyze.errors.parseFileError,Failed to parse file,شکستی هێنا لە شیکاری فایلەکە,,
analyze.errors.noValidComments,No valid comments found in file,هیچ کۆمێنتێکی دروست لەناو فایلەکەدا نەدۆزرایەوە ,,
analyze.errors.parseTextError,Failed to parse text input,شیكاری ده‌قی داخلکراو سه‌رکه‌وتوو نه‌بوو,,
analyze.errors.internalServerError,Internal server error,هەڵەی سێرڤەری ناوخۆیی,,
login.title,Login to safa,چوونە ژوورەوە بۆ سەفا,,
login.emailLabel,Email Address,ناونیشانی ئیمەیڵ,,
login.emailPlaceholder,Enter your email address,ناونیشانی ئیمەیڵەکەت بنووسە,,
login.emailButton,Continue with Email,بەردەوام بە لەگەڵ ئیمەیڵ,,
login.sending,Sending...,لە باری ناردندایە...,,
login.emailDescription,We'll email you a magic login link. No password needed.,ئێمە بە ئیمەیڵ بەستەری جادوویی چوونەژوورەوەت بۆ دەنێرین. پێویست بە وشەی نهێنی ناکات.,,
login.githubButton,Continue with GitHub,بەردەوام بە لەگەڵ گێت هاب,,
login.googleButton,Continue with Google,بەردەوام بە لەگەڵ گووگڵ,,
login.termsText,By logging in you agree to our {termsLink} and {privacyLink},بە چوونە ژوورەوە تۆ ڕەزامەندیت لەسەر {بەستەرەی مەرجەکانی بەکارهێنان} و {بەستەرەی تایبەتمەندێتی} ـمان.,,
login.termsLink,Terms of Service,مەرجەکانی خزمەتگوزاری,,
login.privacyLink,Privacy Policy,سیاسەتی تایبەتمەندێتی,,
login.provider.email,Email,ئیمەیڵ,,
login.provider.github,GitHub,GitHub,,گوگڵ
login.provider.google,Google,Google,,گێت هاب
login.messages.emailSent,Magic link sent to {email}! Please check your email to complete the login.,بەستەری جادوویی بۆ {ئیمێڵەکەت} نێردرا! تکایە سەیری ئیمێڵەکەت بکە بۆ تەواوکردنی پرۆسەی چوونەژوورەوە.,,
login.messages.githubSuccess,GitHub login successful! Redirecting...,چوونەژوورەوەی GitHub سەرکەوتوو بوو! ئاڕاستەکردنەوە...,,گوگڵ
login.messages.googleSuccess,Google login successful! Redirecting...,چوونەژوورەوەی Google سەرکەوتوو بوو! ئاڕاستەکردنەوە...,,گێت هاب
login.messages.invalidEmail,Please enter a valid email address.,تکایە ناونیشانی ئیمەیڵێکی دروست دابنێ.,,
login.messages.emailError,Failed to send magic link. Please try again.,شکستی هێنا لە ناردنی بەستەری جادوویی. تکایە دووبارە هەوڵبدەرەوە.,,
login.messages.githubError,Failed to login with GitHub. Please try again.,شکستی هێنا لە چوونە ژوورەوە بە GitHub. تکایە دووبارە هەوڵبدەرەوە.,,
login.messages.googleError,Failed to login with Google. Please try again.,شکستی هێنا لە چوونە ژوورەوە بە Google. تکایە دووبارە هەوڵبدەرەوە.,,
login.messages.authError,Authentication failed. Please try again.,ڕەسەنایەتی شکستی هێنا. تکایە دووبارە هەوڵبدەرەوە.,,
login.messages.expiredMagicLink,This magic link has expired or is invalid. Please request a new one.,ئەم بەستەرە جادووییە کاتی بەسەرچوو یان دروست نییە. تکایە داوای بەستەرەیەکی نوێ بکە ,,
login.messages.genericError,An error occurred. Please try again.,هەڵەیەک ڕوویدا. تکایە دووبارە هەوڵبدەرەوە.,,
publications.page.title,Publications,بڵاوکراوەکان,,
publications.page.subtitle,Check out latest research and publications on Online Gender-Based Hate Speech and Technology-Facilitated Gender Based Violence in the region.,ئاگاداری دوایین توێژینەوە و بڵاوکراوەکان بە دەربارەی گوتاری ڕقو کینەی لەسەر بنەمای جۆری کۆمەڵایەتی لەسەر ئینتەرنت و توندوتیژی جێندەریی ئاسانکراو لە ڕێگەی تەکنەلۆجیاوە لە ناوچەکەدا.,,
publications.sections.featured,Featured,تایبەتمەند,,
publications.sections.allPublications,All Publications,هەموو بڵاوکراوەکان,,
publications.categories.filter,Filter by Category,بەپێی پۆل فلتەر بکە,,
publications.categories.all,All Categories,هەموو پۆلێنەکان,,
publications.categories.fetchError,Failed to fetch categories.,شکستی هێنا لە هێنانی پۆلەکان.,,
publications.noPublications,No publications available at the moment.,لە ئێستادا هیچ بڵاوکراوەیەک لەبەردەستدا نییە.,,
publications.backToFirstPage,Back to First Page,گەڕانەوە بۆ لاپەڕەی یەکەم,,
publications.fetchError,Failed to fetch publications.,شکستی هێنا لە هێنانی بڵاوکراوەکان.,,
publications.single.authors,Authors:,نووسەران:,,
publications.single.tableOfContent,Table of Content,پێرستی بابەتەکان,,
publications.single.lastUpdated,Last Updated,دوایین نوێکردنەوە,,
publications.single.share.copyUrl,Copy Link,کۆپیکردنی بەستەر,,
publications.single.share.whatsapp,Share on WhatsApp,لە واتسئاب بڵاوی بکەنەوە,,
publications.single.share.twitter,Share on Twitter,لە تویتەر بڵاوی بکەرەوە,,
publications.single.share.urlCopied,Link copied to clipboard!,بەستەرەکە کۆپی كرا!,,
publications.single.notFound,Publication not found.,بڵاوکراوە نەدۆزرایەوە.,,
publications.single.backToPublications,Back to Publications,گەڕانەوە بۆ بڵاوکراوەکان,,
about.page.title,About Us,دەربارەی ئێمە,,
about.page.error,Failed to load about page content.,شکستی هێنا لەبارکردنی ناوەڕۆکی پەڕەی دەربارە,,
terms.page.title,Terms of Service,مەرجەکانی خزمەتگوزاری,,
terms.page.error,Failed to load terms of service content.,شکستی هێنا لە بارکردنی ناوەڕۆکی مەرجەکانی خزمەتگوزاری.,,
privacy.page.title,Privacy Policy,سیاسەتی تایبەتمەندێتی,,
privacy.page.error,Failed to load privacy policy content.,شکستی هێنا لە بارکردنی ناوەڕۆکی سیاسەتی تایبەتمەندێتی,,
error.404.title,Page Not Found,لاپەڕەکە نەدۆزرایەوە,,
error.404.heading,Oops! Page not found,ئۆ! لاپەڕەکە نەدۆزرایەوە,,
error.404.description,"The page you're looking for doesn't exist. It might have been moved, deleted, or you entered the wrong URL.",ئەو لاپەڕەیەی تۆ بەدوایدا دەگەڕێیت بوونی نییە. لەوانەیە گواسترابێتەوە، سڕابێتەوە، یان بەستەرێکی هەڵەت داخڵ کردبێت.,,
error.404.backHome,Back to Home,گەڕانەوە بۆ لاپەڕەی سەرەکی,,
error.404.backPrevious,Go Back,بگەڕێوە دواوە,,
error.404.exploresafa,Explore safa,گەڕان بەناو سەفا,,
error.404.exploresafaText,Discover our tools and resources for Arabic language analysis.,ئامراز و سەرچاوەکانمان بۆ شیکاری زمانی عەرەبی بدۆزەرەوە.,,
error.general.title,Something went wrong,شتێک بە هەڵەدا چووە,,
error.general.heading,An error occurred,هەڵەیەک ڕوویدا,,
error.general.description,"We're sorry, but something went wrong. Please try again later.",ببورن، شتێک بە هەڵەدا ڕوویداوە. تکایە دواتر هەوڵبدەرەوە.,,
error.general.tryAgain,Try Again,دووبارە هەوڵبدەرەوە,,
error.general.backHome,Back to Home,گەڕانەوە بۆ لاپەڕەی سەرەکی,,
